DATE_TIME,current_contract,next_contract,carry_contract
2009-09-22 23:00:00,20100100,20100500,20090900
2010-01-21 23:00:00,20100500,20100900,20100100
2010-05-21 23:00:00,20100900,20110100,20100500
2010-09-17 23:00:00,20110100,20110500,20100900
2011-01-20 23:00:00,20110500,20110900,20110100
2011-05-20 23:00:00,20110900,20120100,20110500
2011-09-21 23:00:00,20120100,20120500,20110900
2012-01-16 23:00:00,20120500,20120900,20120100
2012-05-17 23:00:00,20120900,20130100,20120500
