DATE_TIME,current_contract,next_contract,carry_contract
2012-08-07 23:00:00,20120900,20130100,20130100
2012-12-07 23:00:00,20130100,20130500,20130500
2013-04-08 23:00:00,20130500,20130900,20130900
2013-08-07 23:00:00,20130900,20140100,20140100
2013-12-06 23:00:00,20140100,20140500,20140500
2014-04-04 23:00:00,20140500,20140900,20140900
2014-08-07 23:00:00,20140900,20150100,20150100
